type_of_punish,amnt_stop_investigation,stoped_by_law125678,by_amnnision,by_reconciliation,by_other_reson,by_being_crazy,amnt_opravdonyh,amnt_osuzhden,year_less_1,year_1_3,year_1_5,year_3_5,year_5_8,year_8_10,year_10_12,year_15_20,year_20_25,year_25_30,death_punish,forever_jail,total,to_jail_lead,by_st_58,by_st_60,had_restriction,penalty,сумма штрафа,isprav_rabot,uslov_osuzhd,otsr_punish_74,amnt_freed_amnist,freed_ugolov,obshest_rabot,freedom_restricted,arested,other_punish,without_ugolov,low_punish,arrested_law,confiscated_prop,heal_aclohol,heal_drugs,year
rape120,27,0,0,27,0,0,0,160,1,8,34,41,11,19,11,10,0,0,0,0,135,0,0,17,22,0,0,0,20,0,4,,0,1,0,0,,1,5,3,12,2,2016
try_rape121,4,0,0,3,0,1,0,38,0,1,6,10,0,3,3,14,0,0,0,0,37,0,0,0,4,0,0,0,1,0,0,,0,0,0,0,,1,1,4,1,0,2016
rape,31,0,0,30,0,1,0,198,1,9,40,51,11,22,14,24,0,0,0,0,172,0,0,17,26,0,0,0,21,0,4,0,0,1,0,0,0,2,6,7,13,2,2016
child_rape122,11,0,0,11,0,0,0,15,0,2,2,0,2,2,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0,0,0,,0,7,0,0,,0,4,2,1,0,2016
chile_abuse124,0,0,0,0,0,0,0,23,0,1,5,12,2,1,0,1,0,0,0,0,22,1,0,1,1,0,0,0,0,0,0,,0,1,0,0,,0,1,1,1,0,2016
child,11,0,0,11,0,0,0,38,0,3,7,12,4,3,0,1,0,0,0,0,30,1,0,2,2,0,0,0,0,0,0,0,0,8,0,0,0,0,5,3,2,0,2016
rape121,39,0,0,34,2,3,0,142,0,6,19,39,16,12,14,7,1,0,0,0,114,0,51,14,9,0,0,0,16,0,3,1,0,8,0,0,0,2,12,12,10,0,2017
try_rape122,6,0,0,3,0,3,0,43,0,1,3,7,2,4,13,12,1,0,0,0,43,0,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,2017
rape,45,0,0,37,2,6,0,185,0,7,22,46,18,16,27,19,2,0,0,0,157,0,65,19,10,0,0,0,16,0,3,1,0,8,0,0,0,3,12,12,18,0,2017
child_rape123,8,0,1,6,1,0,0,52,0,1,2,0,1,1,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,47,0,0,0,0,6,0,2,0,2017
chile_abuse125,3,0,0,0,0,3,0,29,0,0,12,8,3,3,1,1,0,0,0,0,28,0,2,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,2017
child,11,0,1,6,1,3,0,81,0,1,14,8,4,4,1,1,0,0,0,0,33,0,2,2,5,0,0,0,0,0,0,0,0,48,0,0,0,1,6,0,7,0,2017
rape122,26,1,0,24,0,1,1,83,0,9,12,24,11,12,3,4,0,0,0,0,75,0,9,11,2,0,0,0,6,0,0,1,0,1,0,0,0,3,4,1,2,0,2018
try_rape123,11,0,0,10,0,1,1,73,0,4,5,19,8,3,10,16,0,0,0,1,66,0,38,11,3,0,0,0,5,0,0,1,0,1,0,0,0,0,4,3,8,0,2018
rape,37,1,0,34,0,2,2,156,0,13,17,43,19,15,13,20,0,0,0,1,141,0,47,22,5,0,0,0,11,0,0,2,0,2,0,0,0,3,8,4,10,0,2018
child_rape124,5,0,0,5,0,0,0,78,0,1,0,0,3,1,1,0,0,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,72,0,0,0,0,9,1,1,0,2018
chile_abuse126,1,0,0,0,0,1,1,29,0,0,9,10,6,4,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2018
child,6,0,0,5,0,1,1,107,0,1,9,10,9,5,1,0,0,0,0,0,35,0,3,1,0,0,0,0,0,0,0,0,0,72,0,0,0,1,9,1,4,0,2018
rape123,16,0,0,16,0,0,0,87,0,10,3,16,7,7,10,7,0,0,0,0,60,0,13,6,8,0,0,0,25,0,0,1,0,1,0,0,0,0,9,0,7,0,2019
try_rape124,7,0,0,4,1,2,2,86,0,2,10,25,8,2,16,15,1,0,0,1,80,0,44,4,10,0,0,0,5,0,0,0,0,1,0,0,0,2,2,1,6,2,2019
rape,23,0,0,20,1,2,2,173,0,12,13,41,15,9,26,22,1,0,0,1,140,0,57,10,18,0,0,0,30,0,0,1,0,2,0,0,0,2,11,1,13,2,2019
child_rape125,8,0,0,5,2,1,1,103,1,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,98,0,0,0,0,7,0,0,0,2019
chile_abuse127,3,0,0,0,0,3,3,26,0,0,8,13,2,1,0,0,0,0,0,0,24,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,3,1,2019
child,11,0,0,5,2,4,4,129,1,2,8,13,3,1,0,0,0,0,0,0,28,0,5,1,1,0,0,0,1,0,0,0,0,100,0,0,0,2,8,0,3,1,2019
rape124,11,0,0,8,0,3,0,77,0,12,23,16,5,6,8,3,0,0,0,0,73,0,17,6,7,0,0,0,2,0,0,2,0,0,0,0,0,3,2,0,4,0,2020
try_rape125,3,0,0,1,0,2,0,61,0,3,7,9,1,5,13,17,5,0,0,1,61,0,36,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2020
rape,14,0,0,9,0,5,0,138,0,15,30,25,6,11,21,20,5,0,0,1,134,0,53,9,9,0,0,0,2,0,0,2,0,0,0,0,0,3,2,0,8,2,2020
child_rape126,12,0,0,11,1,0,1,121,0,4,0,1,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,114,0,0,0,0,8,0,0,0,2020
chile_abuse128,1,0,0,0,0,1,0,21,0,0,7,7,6,0,0,1,0,0,0,0,21,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2020
child,13,0,0,11,1,1,1,142,0,4,7,8,7,0,0,1,0,0,0,0,27,0,4,1,3,0,0,0,0,0,0,0,1,114,0,0,0,0,8,0,3,1,2020
rape125,2,0,0,1,0,1,2,124,0,4,31,25,8,7,22,12,2,0,0,2,113,0,26,7,13,0,0,0,9,0,0,0,0,0,0,0,2,1,3,0,12,2,2021
try_rape126,3,0,0,1,0,2,0,89,0,0,2,22,14,7,11,16,9,0,0,4,85,0,49,7,6,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,13,1,2021
rape,5,0,0,2,0,3,2,213,0,4,33,47,22,14,33,28,11,0,0,6,198,0,75,14,19,0,0,0,12,0,0,0,0,0,0,0,3,1,4,0,25,3,2021
child_rape127,8,0,0,8,0,0,0,97,7,9,1,0,4,0,1,0,0,0,0,0,22,0,2,2,8,0,0,0,0,0,0,0,0,75,0,0,0,1,5,0,1,0,2021
chile_abuse129,1,0,0,0,1,0,0,28,0,0,1,17,3,3,4,0,0,0,0,0,28,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2021
child,9,0,0,8,1,0,0,125,7,9,2,17,7,3,5,0,0,0,0,0,50,0,5,3,9,0,0,0,0,0,0,0,0,75,0,0,0,1,5,0,5,0,2021
rape126,4,0,0,2,1,1,2,112,0,1,26,25,6,6,17,17,5,0,0,1,104,1,28,10,11,0,0,0,6,0,0,0,0,2,0,0,0,2,2,0,8,0,2022
try_rape127,2,0,0,0,0,2,1,104,0,0,9,27,6,1,7,33,20,0,0,1,104,5,62,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,2,2022
rape,6,0,0,2,1,3,3,216,0,1,35,52,12,7,24,50,25,0,0,2,208,6,90,17,18,0,0,0,6,0,0,0,0,2,0,0,0,4,2,0,18,2,2022
child_rape128,11,0,1,10,0,0,0,91,5,5,1,4,3,2,1,0,0,0,0,0,21,0,1,2,8,0,0,0,0,0,0,1,0,69,0,0,0,0,5,0,0,0,2022
chile_abuse130,1,0,0,0,0,1,0,16,0,0,1,7,1,3,3,0,1,0,0,0,16,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2022
child,12,0,1,10,0,1,0,107,5,5,2,11,4,5,4,0,1,0,0,0,37,0,5,3,8,0,0,0,0,0,0,1,0,69,0,0,0,0,5,0,2,0,2022
rape127,1,0,0,0,0,1,1,86,0,1,18,19,12,3,13,12,1,0,0,1,80,0,15,10,8,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,5,0,2023
try_rape128,3,0,0,0,0,3,1,85,0,1,4,16,7,3,3,36,11,0,0,2,83,1,40,5,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,1,2023
rape,4,0,0,0,0,4,2,171,0,2,22,35,19,6,16,48,12,0,0,3,163,1,55,15,14,0,0,0,8,0,0,0,0,0,0,0,0,1,2,0,9,1,2023
child_rape129,7,0,0,4,3,0,0,93,1,9,2,1,0,3,1,0,0,0,0,0,17,0,2,0,2,0,0,0,1,0,0,0,0,75,0,0,0,0,14,0,0,0,2023
chile_abuse131,2,1,0,0,0,1,0,22,0,0,0,13,4,5,0,0,0,0,0,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2023
child,9,1,0,4,3,1,0,115,1,9,2,14,4,8,1,0,0,0,0,0,39,0,2,0,4,0,0,0,1,0,0,0,0,75,0,0,0,0,14,0,5,0,2023
